//              时间(s)         P[Y](轨迹:1)-插床运动仿真.iaa(mm)
               0.00000       0.00000
               0.08000       4.76633
               0.16000       15.92630
               0.24000       30.72080
               0.32000       47.20599
               0.40000       63.76630
               0.48000       79.04718
               0.56000       91.66930
               0.64000       99.33600
               0.72000       96.42040
               0.80000       69.82350
               0.88000       23.10960
               0.96000       1.78066
