//              时间(s)         P[Y](轨迹:1)-插床运动仿真.iaa(mm) 
               0.00000       0.00000      
               0.04000       1.33030      
               0.08000       4.76633      
               0.12000       9.75311      
               0.16000       15.92630     
               0.20000       22.99950     
               0.24000       30.72080     
               0.28000       38.86020     
               0.32000       47.20599     
               0.36000       55.56610     
               0.40000       63.76630     
               0.44000       71.64600     
               0.48000       79.04718     
               0.52000       85.79540     
               0.56000       91.66930     
               0.60000       96.34970     
               0.64000       99.33600     
               0.68000       99.80860     
               0.72000       96.42040     
               0.76000       87.12730     
               0.80000       69.82350     
               0.84000       45.81400     
               0.88000       23.10960     
               0.92000       8.56850      
               0.96000       1.78066      
               1.00000       0.00000      
